,Label,Spotify,Title,Artist,Featured Artists,feat-string,artist-string,weav-track-prefix,Prefix formula,Genre,ISRC,GRID,source-UPC,Circle of Fifths
1039,['recallssJLk8t0gr0'],https://open.spotify.com/search/songs/Don%20Diablo%20-%20Give%20Me%20Love%20ft.%20Calum%20Scott%20,Give Me Love,Don Diablo,['recEbrx29djVnIoAW'],Calum Scott,Don Diablo,io.weav.tracks.GiveMeLove,GiveMeLove,['EDM'],,,,0
1040,['reczKOd5S6x8c4Dty'],https://open.spotify.com/search/songs/Tritonal%20-%20Good%20Thing%20ft.%20Laurell%20,Good Thing,Tritonal,['recaENLfMrW5pbMQ2'],Laurell,Tritonal,io.weav.tracks.,GoodThing,['EDM'],,,,0
1041,['reczKOd5S6x8c4Dty'],https://open.spotify.com/search/songs/Tritonal%20APEK%20-%20Just%20Like%20You%20ft.%20Meron%20Ryan%20,Just Like You,Tritonal,['recSi7Rcq3ffMtVrV'],Meron Ryan,Tritonal & APEK,,JustLikeYou,,,,,0
1042,['reczKOd5S6x8c4Dty'],https://open.spotify.com/search/songs/Matt%20Fax%20x%20Dezza%20-%20Sweet%20Dream%20,Sweet Dream,Matt Fax x Dezza,,,Matt Fax x Dezza,io.weav.tracks.SweetDream,SweetDream,['EDM'],,,,0
1043,['recNccjHNJVQfeT3Q'],https://open.spotify.com/search/songs/Steve%20Aoki%20Laidback%20Luke%20-%20Turbulence%20,Turbulence,Steve Aoki,,,Steve Aoki & Laidback Luke,io.weav.tracks.Turbulence,Turbulence,['EDM'],,,,0
1044,['recNccjHNJVQfeT3Q'],https://open.spotify.com/search/songs/Keanu%20Silva%20-%20Risk%20It%20All%20,Risk It All,Keanu Silva,,,Keanu Silva,io.weav.tracks.RiskItAll,RiskItAll,['EDM'],,,,0
1045,['recxR6CqFBSPvc7hY'],https://open.spotify.com/search/songs/DROELOE%20-%20Many%20Words%20,Many Words,DROELOE,,,DROELOE,io.weav.tracks.ManyWords,ManyWords,['EDM'],,,,0
1046,['recxR6CqFBSPvc7hY'],https://open.spotify.com/search/songs/San%20Holo%20-%20Fly%20,Fly,San Holo,,,San Holo,io.weav.tracks.,Fly,['EDM'],,,,0
1047,['recxR6CqFBSPvc7hY'],https://open.spotify.com/search/songs/San%20Holo%20-%20Lift%20Me%20From%20The%20Ground%20,Lift Me From The Ground,San Holo,,,San Holo,io.weav.tracks.,LiftMeFromTheGround,['EDM'],,,,0
1048,['recxR6CqFBSPvc7hY'],https://open.spotify.com/search/songs/Taska%20Black%20-%20Sandpaper%20ft.%20Ayelle%20,Sandpaper,Taska Black,['rec7M01KTsUl1l2xK'],Ayelle,Taska Black,io.weav.tracks.,Sandpaper,['EDM'],,,,0
1049,['reczKOd5S6x8c4Dty'],https://open.spotify.com/search/songs/Disco%20Fries%20-%20Moving%20Mountains%20ft.%20Ollie%20Green%20,Moving Mountains,Disco Fries,['recZQwzQyidzPsuUC'],Ollie Green,Disco Fries,io.weav.tracks.MovingMountains,MovingMountains,['EDM'],,,,0
1050,['reczKOd5S6x8c4Dty'],https://open.spotify.com/search/songs/Tritonal%20Kapera%20-%20Easy%20ft.%20Ryann%20,Easy,Tritonal,['recJKxAQUBerZZ4bh'],Ryann,Tritonal & Kapera,io.weav.tracks.EasyTritonal,Easy,['EDM'],,,,0
1051,['reczKOd5S6x8c4Dty'],https://open.spotify.com/search/songs/Noah%20Neiman%20-%20Show%20You%20,Show You,Noah Neiman,,,Noah Neiman,io.weav.tracks.ShowYou,ShowYou,['EDM'],,,,0
1052,['rec0DHKwd4gZGUl8K'],https://open.spotify.com/search/songs/Meghan%20Trainor%20-%20CAN'T%20DANCE%20,CAN'T DANCE,Meghan Trainor,,,Meghan Trainor,io.weav.tracks.CantDance,CAN'TDANCE,['Pop'],USSM11801050,A10328E0008608936Z,886446967912,0
1053,['rec0DHKwd4gZGUl8K'],https://open.spotify.com/search/songs/Meghan%20Trainor%20-%20ALL%20THE%20WAYS%20,ALL THE WAYS,Meghan Trainor,,,Meghan Trainor,io.weav.tracks.AllTheWays,ALLTHEWAYS,['Pop'],USSM11805716,A10328E0008936910S,886447540831,0
